	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/dégoût/profond	Non/dégoût/profond	Non/dégoût/profond	Non/dégoût/profond	Non/dégoût/profond	Non/dégoût/profond	Non/dégoût/profond	Non/dégoût/profond	Non/dégoût/profond	Non/dégoût/profond	Oui/fossé/profond	Oui/galeries/profondes	Oui/gorges/profondes	Oui/puits/profond	Oui/fosse/profonde	Oui/grotte/profonde	Oui/faille/profonde	Oui/caverne/profonde	Oui/forêt/profonde	Oui/cavité/profonde
Oui/balles/plomb	0.6179314255714417	0.5952141284942627	0.6537595987319946	0.6302401423454285	0.5802951455116272	0.5596413016319275	0.6595183610916138	0.5822363495826721	0.6478348970413208	0.6377526521682739	1.0	0.6708911657333374	0.8342899680137634	0.7981356382369995	0.8479834794998169	0.8752736449241638	0.6739923357963562	0.8285509943962097	0.8296488523483276	0.8102598190307617	0.18387934565544128	0.22833096981048584	0.26079970598220825	0.27393224835395813	0.1535782516002655	0.17061102390289307	0.18332117795944214	0.16388094425201416	0.2386080026626587	0.09554553031921387	0.2718995213508606	0.16401460766792297	0.024816015735268593	0.3266451358795166	0.20455558598041534	0.2725297808647156	0.2926652133464813	0.23984688520431519	0.2728351652622223	0.30305150151252747	
Oui/lamelles/plomb	0.46053776144981384	0.46873584389686584	0.5199945569038391	0.4218347668647766	0.4364706873893738	0.42627787590026855	0.4976857602596283	0.3607954978942871	0.5551229119300842	0.4628722071647644	0.6708911657333374	1.0	0.6042101383209229	0.7063688635826111	0.6227729916572571	0.627740740776062	0.5139073729515076	0.5929791331291199	0.6642367839813232	0.657384991645813	0.0634458065032959	0.1484917253255844	0.12025102972984314	0.1258922666311264	0.0020356676541268826	-0.005205273628234863	0.055130720138549805	0.035873960703611374	0.14276307821273804	0.005662550684064627	0.1355687379837036	0.29859036207199097	0.1251874715089798	0.1429591178894043	0.049971286207437515	0.1444043070077896	0.06647755950689316	0.019032839685678482	0.10263890773057938	0.10101526230573654	
Oui/balle/plomb	0.7106677293777466	0.6844099164009094	0.719392716884613	0.6875318288803101	0.6369224190711975	0.6667262315750122	0.7381352782249451	0.6214351654052734	0.6319806575775146	0.6853612065315247	0.8342899680137634	0.6042101383209229	1.0	0.781594455242157	0.8414714336395264	0.8511334657669067	0.7314782738685608	0.8697782754898071	0.8665884733200073	0.8397729396820068	0.2745811641216278	0.36828550696372986	0.3477709889411926	0.3864938020706177	0.23546095192432404	0.2553682029247284	0.2556270658969879	0.28524050116539	0.32638975977897644	0.1743450164794922	0.3733755350112915	0.13289301097393036	-0.05273167043924332	0.413108229637146	0.27054208517074585	0.36356237530708313	0.3573680818080902	0.29302701354026794	0.3456774353981018	0.34795844554901123	
Oui/noyaux/plomb	0.6152634024620056	0.6421921849250793	0.691344141960144	0.6498329043388367	0.6238940954208374	0.594958484172821	0.7010164856910706	0.5807214379310608	0.7551699280738831	0.6489787697792053	0.7981356382369995	0.7063688635826111	0.781594455242157	1.0	0.7988350987434387	0.8238377571105957	0.6987318396568298	0.8044263124465942	0.8203630447387695	0.8669288754463196	0.15262936055660248	0.23185937106609344	0.23123623430728912	0.2649766206741333	0.1170787587761879	0.13580827414989471	0.1510358303785324	0.16412250697612762	0.22096027433872223	0.07809417694807053	0.22623811662197113	0.1547003984451294	-0.0077035920694470406	0.29354462027549744	0.12189944088459015	0.2607056498527527	0.22681407630443573	0.185695081949234	0.23085694015026093	0.23162153363227844	
Oui/cartouches/plomb	0.665634274482727	0.669196367263794	0.7308174967765808	0.7405642867088318	0.6667677760124207	0.6604890823364258	0.7154005169868469	0.6761911511421204	0.6852502822875977	0.7084625959396362	0.8479834794998169	0.6227729916572571	0.8414714336395264	0.7988350987434387	1.0	0.8590673804283142	0.6319385170936584	0.8077676296234131	0.8046806454658508	0.7913561463356018	0.24378882348537445	0.30369317531585693	0.346828430891037	0.32226231694221497	0.22445791959762573	0.26258835196495056	0.23508445918560028	0.25853806734085083	0.2990305721759796	0.16725321114063263	0.3269641697406769	0.21074755489826202	0.07394963502883911	0.35151201486587524	0.26737913489341736	0.2745985686779022	0.27991169691085815	0.2664124071598053	0.2759082317352295	0.3567512035369873	
Oui/billes/plomb	0.6878179311752319	0.6640549898147583	0.7076280117034912	0.7100019454956055	0.6497607827186584	0.6785657405853271	0.7343242764472961	0.6778146624565125	0.6846330761909485	0.73511803150177	0.8752736449241638	0.627740740776062	0.8511334657669067	0.8238377571105957	0.8590673804283142	1.0	0.7234711647033691	0.9014216065406799	0.8424738049507141	0.8567771315574646	0.25585851073265076	0.3311813473701477	0.3253437876701355	0.35815131664276123	0.21344351768493652	0.22960537672042847	0.22935284674167633	0.2371004819869995	0.30031320452690125	0.1541576385498047	0.3547250032424927	0.11843916028738022	-0.03857159987092018	0.41452571749687195	0.2489219605922699	0.3203205168247223	0.34507304430007935	0.28839969635009766	0.3362879157066345	0.33488479256629944	
Oui/boulet/plomb	0.6530791521072388	0.6131501197814941	0.6534882187843323	0.5933655500411987	0.5925552248954773	0.5999743342399597	0.6329928636550903	0.5251520872116089	0.634471595287323	0.6085667014122009	0.6739923357963562	0.5139073729515076	0.7314782738685608	0.6987318396568298	0.6319385170936584	0.7234711647033691	1.0	0.7324188351631165	0.6971099972724915	0.7115349173545837	0.22438372671604156	0.31567102670669556	0.27041295170783997	0.3350699841976166	0.18396732211112976	0.19960050284862518	0.2308679074048996	0.2070845514535904	0.2723121643066406	0.14218565821647644	0.3386124074459076	0.11179528385400772	-0.0349789597094059	0.37976130843162537	0.21319924294948578	0.3262091279029846	0.30594950914382935	0.2330814003944397	0.30855533480644226	0.2690112888813019	
Oui/bille/plomb	0.7254236340522766	0.7214904427528381	0.7354036569595337	0.7244766354560852	0.6616414785385132	0.7078529000282288	0.7365191578865051	0.6661873459815979	0.6452073454856873	0.7228652834892273	0.8285509943962097	0.5929791331291199	0.8697782754898071	0.8044263124465942	0.8077676296234131	0.9014216065406799	0.7324188351631165	1.0	0.844075083732605	0.8672588467597961	0.2791835367679596	0.37201356887817383	0.3662148416042328	0.37054508924484253	0.22084946930408478	0.24272240698337555	0.24782869219779968	0.28117725253105164	0.33429282903671265	0.16996736824512482	0.36498144268989563	0.10989677906036377	-0.07192874699831009	0.4367351830005646	0.28148260712623596	0.37269505858421326	0.3589424192905426	0.2993117570877075	0.3459063768386841	0.33655697107315063	
Oui/plaque/plomb	0.6995400190353394	0.6736747026443481	0.725630521774292	0.6854842901229858	0.6375220417976379	0.6501325964927673	0.7554019093513489	0.6150625348091125	0.6815146207809448	0.6970510482788086	0.8296488523483276	0.6642367839813232	0.8665884733200073	0.8203630447387695	0.8046806454658508	0.8424738049507141	0.6971099972724915	0.844075083732605	1.0	0.8647091388702393	0.22377943992614746	0.2786482274532318	0.29173848032951355	0.3234163820743561	0.16324691474437714	0.1957894116640091	0.21446669101715088	0.22409354150295258	0.2712250053882599	0.11142221093177795	0.2930852770805359	0.14643555879592896	-0.04960750415921211	0.35731241106987	0.21666701138019562	0.3306314945220947	0.3183649182319641	0.2544998824596405	0.2984265685081482	0.3017721474170685	
Oui/coupole/plomb	0.6787126064300537	0.6737348437309265	0.7032576203346252	0.6754360795021057	0.6360799074172974	0.6474499106407166	0.7164099812507629	0.60671466588974	0.684180736541748	0.6655551791191101	0.8102598190307617	0.657384991645813	0.8397729396820068	0.8669288754463196	0.7913561463356018	0.8567771315574646	0.7115349173545837	0.8672588467597961	0.8647091388702393	1.0	0.2301032394170761	0.30982518196105957	0.2998437285423279	0.3373169004917145	0.1842738538980484	0.2072325348854065	0.20398548245429993	0.23941604793071747	0.2926100492477417	0.13420416414737701	0.315775066614151	0.11595236510038376	-0.08446802198886871	0.3661331832408905	0.17255379259586334	0.3129051625728607	0.29601460695266724	0.22837704420089722	0.2804800570011139	0.2705634832382202	
