	Oui/vie/saine	Oui/personne/saine	Oui/peau/saine	Oui/nourriture/saine	Oui/chair/saine	Oui/écorces/saines	Oui/dents/saines	Oui/bouche/saine	Oui/jambe/saine	Oui/feuilles/saines	Non/colère/saine	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/soleil/plomb
Non/colère/saine	0.5931146740913391	0.6850494146347046	0.559532880783081	0.5960134863853455	0.6277333498001099	0.19633542001247406	0.2663542628288269	0.6522734761238098	0.6180393099784851	0.12223494052886963	1.0	0.2409723997116089	0.1201467290520668	0.3222077786922455	0.2489595264196396	0.2636908292770386	0.2968914806842804	0.24225519597530365	0.3031393587589264	0.3035503625869751	0.28436151146888733	0.28371936082839966	
Oui/balles/plomb	0.25186294317245483	0.2722228467464447	0.2968621253967285	0.21016335487365723	0.3058587908744812	0.023021243512630463	0.11508394032716751	0.25882187485694885	0.20725880563259125	0.023412521928548813	0.2409723997116089	1.0	0.6708911657333374	0.8342899680137634	0.7981356382369995	0.8479834794998169	0.8752736449241638	0.6739923357963562	0.8285509943962097	0.8296488523483276	0.8102598190307617	0.5802951455116272	
Oui/lamelles/plomb	0.059407129883766174	0.08626298606395721	0.15974771976470947	0.0959198847413063	0.10187532007694244	0.15293042361736298	0.20710870623588562	0.1279444694519043	0.018428359180688858	0.19404426217079163	0.1201467290520668	0.6708911657333374	1.0	0.6042101383209229	0.7063688635826111	0.6227729916572571	0.627740740776062	0.5139073729515076	0.5929791331291199	0.6642367839813232	0.657384991645813	0.4364706873893738	
Oui/balle/plomb	0.28610318899154663	0.33563703298568726	0.34737706184387207	0.3295528292655945	0.3458637297153473	-0.06595554202795029	0.03883109241724014	0.2819617986679077	0.2972491383552551	-0.03449391573667526	0.3222077786922455	0.8342899680137634	0.6042101383209229	1.0	0.781594455242157	0.8414714336395264	0.8511334657669067	0.7314782738685608	0.8697782754898071	0.8665884733200073	0.8397729396820068	0.6369224190711975	
Oui/noyaux/plomb	0.19160035252571106	0.2131854146718979	0.25232771039009094	0.17543788254261017	0.23746837675571442	-0.001764387357980013	0.10062581300735474	0.24640832841396332	0.16937147080898285	0.011425415985286236	0.2489595264196396	0.7981356382369995	0.7063688635826111	0.781594455242157	1.0	0.7988350987434387	0.8238377571105957	0.6987318396568298	0.8044263124465942	0.8203630447387695	0.8669288754463196	0.6238940954208374	
Oui/cartouches/plomb	0.25152966380119324	0.2721925675868988	0.27381446957588196	0.22392545640468597	0.336382657289505	0.022734053432941437	0.10316776484251022	0.22163055837154388	0.2498241364955902	0.06221342831850052	0.2636908292770386	0.8479834794998169	0.6227729916572571	0.8414714336395264	0.7988350987434387	1.0	0.8590673804283142	0.6319385170936584	0.8077676296234131	0.8046806454658508	0.7913561463356018	0.6667677760124207	
Oui/billes/plomb	0.2631395757198334	0.2855485677719116	0.29156196117401123	0.27343714237213135	0.35132524371147156	-0.05683019757270813	0.0524643175303936	0.27650097012519836	0.24709075689315796	-0.05181419476866722	0.2968914806842804	0.8752736449241638	0.627740740776062	0.8511334657669067	0.8238377571105957	0.8590673804283142	1.0	0.7234711647033691	0.9014216065406799	0.8424738049507141	0.8567771315574646	0.6497607827186584	
Oui/boulet/plomb	0.24707791209220886	0.24644817411899567	0.28927794098854065	0.2671586871147156	0.26256489753723145	-0.06595230847597122	0.019737886264920235	0.23490755259990692	0.21141348779201508	-0.02800271473824978	0.24225519597530365	0.6739923357963562	0.5139073729515076	0.7314782738685608	0.6987318396568298	0.6319385170936584	0.7234711647033691	1.0	0.7324188351631165	0.6971099972724915	0.7115349173545837	0.5925552248954773	
Oui/bille/plomb	0.29409414529800415	0.31634217500686646	0.33090704679489136	0.34716886281967163	0.34436434507369995	-0.09311147779226303	0.008485698141157627	0.30394017696380615	0.3045770823955536	-0.06047779694199562	0.3031393587589264	0.8285509943962097	0.5929791331291199	0.8697782754898071	0.8044263124465942	0.8077676296234131	0.9014216065406799	0.7324188351631165	1.0	0.844075083732605	0.8672588467597961	0.6616414785385132	
Oui/plaque/plomb	0.2620082199573517	0.2776170074939728	0.3312148451805115	0.2727469503879547	0.3169191777706146	-0.058576758950948715	0.04596231132745743	0.27426958084106445	0.269818514585495	-0.01902364380657673	0.3035503625869751	0.8296488523483276	0.6642367839813232	0.8665884733200073	0.8203630447387695	0.8046806454658508	0.8424738049507141	0.6971099972724915	0.844075083732605	1.0	0.8647091388702393	0.6375220417976379	
Oui/coupole/plomb	0.2213398814201355	0.26366299390792847	0.2994978427886963	0.2682918906211853	0.26956242322921753	-0.09260224550962448	0.0072527374140918255	0.267147034406662	0.22362810373306274	-0.05608311668038368	0.28436151146888733	0.8102598190307617	0.657384991645813	0.8397729396820068	0.8669288754463196	0.7913561463356018	0.8567771315574646	0.7115349173545837	0.8672588467597961	0.8647091388702393	1.0	0.6360799074172974	
Non/soleil/plomb	0.26033085584640503	0.2373485565185547	0.2447122037410736	0.25165855884552	0.30728211998939514	-0.01732509583234787	0.030870266258716583	0.2278999239206314	0.27025100588798523	0.009135141968727112	0.28371936082839966	0.5802951455116272	0.4364706873893738	0.6369224190711975	0.6238940954208374	0.6667677760124207	0.6497607827186584	0.5925552248954773	0.6616414785385132	0.6375220417976379	0.6360799074172974	1.0	
