	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/soleil/plomb	Oui/urne/plomb	Oui/tablette/plomb	Oui/tuyau/plomb	Oui/cercueil/plomb	Oui/cage/plomb	Oui/gants/plomb	Oui/masse/plomb	Oui/lingot/plomb	Oui/morceau/plomb	Oui/armatures/plomb	Non/silence/plomb
Non/soleil/plomb	0.5596413016319275	0.42627787590026855	0.6667262315750122	0.594958484172821	0.6604890823364258	0.6785657405853271	0.5999743342399597	0.7078529000282288	0.6501325964927673	0.6474499106407166	1.0	0.6855123043060303	0.6316388249397278	0.7269185185432434	0.5877974033355713	0.5809356570243835	0.6612090468406677	0.6555191278457642	0.717919647693634	0.6346997022628784	0.5208582878112793	0.6721227169036865	
Oui/urne/plomb	0.8139882683753967	0.5737894773483276	0.8362714648246765	0.852044403553009	0.8150160908699036	0.8864544034004211	0.7067425847053528	0.8965924382209778	0.8370251655578613	0.881023108959198	0.6855123043060303	1.0	0.8603913187980652	0.8685829639434814	0.741251528263092	0.8014262914657593	0.8280389904975891	0.912956178188324	0.8635575175285339	0.8433891534805298	0.7160413861274719	0.7232824563980103	
Oui/tablette/plomb	0.8473865389823914	0.6653486490249634	0.8667711019515991	0.8131185173988342	0.7847060561180115	0.8490850329399109	0.716536283493042	0.8786365985870361	0.8873324990272522	0.8602965474128723	0.6316388249397278	0.8603913187980652	1.0	0.8384957313537598	0.7566125988960266	0.8156743049621582	0.860525369644165	0.9140539169311523	0.8070780038833618	0.8533329367637634	0.6663041114807129	0.6896407008171082	
Oui/tuyau/plomb	0.7875944972038269	0.5811800360679626	0.8401095867156982	0.7935845851898193	0.8151347637176514	0.8703951835632324	0.7213764190673828	0.8760575652122498	0.8301446437835693	0.8342289924621582	0.7269185185432434	0.8685829639434814	0.8384957313537598	1.0	0.7366111874580383	0.7562894225120544	0.8303501009941101	0.8766895532608032	0.8719915747642517	0.8380126953125	0.7011967301368713	0.6923186779022217	
Oui/cercueil/plomb	0.7268180847167969	0.613563597202301	0.7574920654296875	0.7739813923835754	0.7124971747398376	0.746767520904541	0.7400286793708801	0.7354480624198914	0.7799425721168518	0.7717595100402832	0.5877974033355713	0.741251528263092	0.7566125988960266	0.7366111874580383	1.0	0.7259296178817749	0.707578718662262	0.7588680386543274	0.6975510716438293	0.8144537806510925	0.6726875305175781	0.6949806809425354	
Oui/cage/plomb	0.7822980880737305	0.599621057510376	0.7865283489227295	0.7791584730148315	0.7016261219978333	0.7753550410270691	0.7300639748573303	0.784368634223938	0.8304566144943237	0.7857965230941772	0.5809356570243835	0.8014262914657593	0.8156743049621582	0.7562894225120544	0.7259296178817749	1.0	0.7700613141059875	0.8101232051849365	0.7062195539474487	0.7852903008460999	0.608890950679779	0.683559238910675	
Oui/gants/plomb	0.81834876537323	0.6592879891395569	0.8219848871231079	0.8254839181900024	0.8052574992179871	0.8677737712860107	0.6950305104255676	0.8570907115936279	0.8381221890449524	0.8199131488800049	0.6612090468406677	0.8280389904975891	0.860525369644165	0.8303501009941101	0.707578718662262	0.7700613141059875	1.0	0.8584957122802734	0.7946711778640747	0.802910327911377	0.7020001411437988	0.6554267406463623	
Oui/masse/plomb	0.8615020513534546	0.6336334347724915	0.8916255235671997	0.8541829586029053	0.8178936243057251	0.8939565420150757	0.7257982492446899	0.9301096200942993	0.8676126003265381	0.8990030288696289	0.6555191278457642	0.912956178188324	0.9140539169311523	0.8766895532608032	0.7588680386543274	0.8101232051849365	0.8584957122802734	1.0	0.8471412062644958	0.8848808407783508	0.698632001876831	0.6967989206314087	
Oui/lingot/plomb	0.7994496822357178	0.529191255569458	0.806625247001648	0.7492353916168213	0.793908417224884	0.8908660411834717	0.6950622797012329	0.8931592702865601	0.7721590399742126	0.8056276440620422	0.717919647693634	0.8635575175285339	0.8070780038833618	0.8719915747642517	0.6975510716438293	0.7062195539474487	0.7946711778640747	0.8471412062644958	1.0	0.8390913009643555	0.7090182304382324	0.6270321011543274	
Oui/morceau/plomb	0.8491873145103455	0.6549738049507141	0.8550354838371277	0.8274868726730347	0.7977489829063416	0.8480189442634583	0.7354760766029358	0.8628382086753845	0.8619561791419983	0.8682266473770142	0.6346997022628784	0.8433891534805298	0.8533329367637634	0.8380126953125	0.8144537806510925	0.7852903008460999	0.802910327911377	0.8848808407783508	0.8390913009643555	1.0	0.720464289188385	0.6917915940284729	
Oui/armatures/plomb	0.7367701530456543	0.615031361579895	0.6547929048538208	0.7723534107208252	0.7153989672660828	0.7486087679862976	0.5361433625221252	0.7005834579467773	0.6991348266601562	0.7266625165939331	0.5208582878112793	0.7160413861274719	0.6663041114807129	0.7011967301368713	0.6726875305175781	0.608890950679779	0.7020001411437988	0.698632001876831	0.7090182304382324	0.720464289188385	1.0	0.530075192451477	
Non/silence/plomb	0.6427032947540283	0.5460802316665649	0.682784914970398	0.7084687948226929	0.6845428347587585	0.6599373817443848	0.6575360894203186	0.6528346538543701	0.7178127765655518	0.6916046738624573	0.6721227169036865	0.7232824563980103	0.6896407008171082	0.6923186779022217	0.6949806809425354	0.683559238910675	0.6554267406463623	0.6967989206314087	0.6270321011543274	0.6917915940284729	0.530075192451477	1.0	
