	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/soleil/plomb	Oui/fossé/profond	Oui/galeries/profondes	Oui/gorges/profondes	Oui/puits/profond	Oui/fosse/profonde	Oui/grotte/profonde	Oui/faille/profonde	Oui/caverne/profonde	Oui/forêt/profonde	Oui/cavité/profonde	Non/dégoût/profond
Non/soleil/plomb	0.6478348970413208	0.5551229119300842	0.6319806575775146	0.7551699280738831	0.6852502822875977	0.6846330761909485	0.634471595287323	0.6452073454856873	0.6815146207809448	0.684180736541748	1.0	0.1981775015592575	0.18917696177959442	0.05561848729848862	0.2542405426502228	0.11023951321840286	0.20292487740516663	0.19571807980537415	0.20665505528450012	0.22818736732006073	0.2057041972875595	0.17194335162639618	
Oui/fossé/profond	0.2718995213508606	0.1355687379837036	0.3733755350112915	0.22623811662197113	0.3269641697406769	0.3547250032424927	0.3386124074459076	0.36498144268989563	0.2930852770805359	0.315775066614151	0.1981775015592575	1.0	0.33509936928749084	0.30046212673187256	0.7844280004501343	0.533531665802002	0.5278849601745605	0.5427713990211487	0.4499649703502655	0.5252788066864014	0.46576303243637085	0.46005791425704956	
Oui/galeries/profondes	0.16401460766792297	0.29859036207199097	0.13289301097393036	0.1547003984451294	0.21074755489826202	0.11843916028738022	0.11179528385400772	0.10989677906036377	0.14643555879592896	0.11595236510038376	0.18917696177959442	0.33509936928749084	1.0	0.6346976161003113	0.25045305490493774	0.2916622757911682	0.25879016518592834	0.18167105317115784	0.26174890995025635	0.1944957971572876	0.45594942569732666	0.3132699728012085	
Oui/gorges/profondes	0.024816015735268593	0.1251874715089798	-0.05273167043924332	-0.0077035920694470406	0.07394963502883911	-0.03857159987092018	-0.0349789597094059	-0.07192874699831009	-0.04960750415921211	-0.08446802198886871	0.05561848729848862	0.30046212673187256	0.6346976161003113	1.0	0.2141224443912506	0.34560102224349976	0.27502551674842834	0.20525018870830536	0.24389559030532837	0.23208828270435333	0.219322070479393	0.15029609203338623	
Oui/puits/profond	0.3266451358795166	0.1429591178894043	0.413108229637146	0.29354462027549744	0.35151201486587524	0.41452571749687195	0.37976130843162537	0.4367351830005646	0.35731241106987	0.3661331832408905	0.2542405426502228	0.7844280004501343	0.25045305490493774	0.2141224443912506	1.0	0.6072114109992981	0.5710863471031189	0.6178355813026428	0.588258683681488	0.6995851993560791	0.5730443596839905	0.5211202502250671	
Oui/fosse/profonde	0.20455558598041534	0.049971286207437515	0.27054208517074585	0.12189944088459015	0.26737913489341736	0.2489219605922699	0.21319924294948578	0.28148260712623596	0.21666701138019562	0.17255379259586334	0.11023951321840286	0.533531665802002	0.2916622757911682	0.34560102224349976	0.6072114109992981	1.0	0.7092939019203186	0.6904113292694092	0.6955494284629822	0.689713716506958	0.6625476479530334	0.40590545535087585	
Oui/grotte/profonde	0.2725297808647156	0.1444043070077896	0.36356237530708313	0.2607056498527527	0.2745985686779022	0.3203205168247223	0.3262091279029846	0.37269505858421326	0.3306314945220947	0.3129051625728607	0.20292487740516663	0.5278849601745605	0.25879016518592834	0.27502551674842834	0.5710863471031189	0.7092939019203186	1.0	0.8281413316726685	0.7106100916862488	0.7690008878707886	0.6214643120765686	0.37357550859451294	
Oui/faille/profonde	0.2926652133464813	0.06647755950689316	0.3573680818080902	0.22681407630443573	0.27991169691085815	0.34507304430007935	0.30594950914382935	0.3589424192905426	0.3183649182319641	0.29601460695266724	0.19571807980537415	0.5427713990211487	0.18167105317115784	0.20525018870830536	0.6178355813026428	0.6904113292694092	0.8281413316726685	1.0	0.7477284073829651	0.7979519367218018	0.6774781942367554	0.4281022846698761	
Oui/caverne/profonde	0.23984688520431519	0.019032839685678482	0.29302701354026794	0.185695081949234	0.2664124071598053	0.28839969635009766	0.2330814003944397	0.2993117570877075	0.2544998824596405	0.22837704420089722	0.20665505528450012	0.4499649703502655	0.26174890995025635	0.24389559030532837	0.588258683681488	0.6955494284629822	0.7106100916862488	0.7477284073829651	1.0	0.7510444521903992	0.7520053386688232	0.46079668402671814	
Oui/forêt/profonde	0.2728351652622223	0.10263890773057938	0.3456774353981018	0.23085694015026093	0.2759082317352295	0.3362879157066345	0.30855533480644226	0.3459063768386841	0.2984265685081482	0.2804800570011139	0.22818736732006073	0.5252788066864014	0.1944957971572876	0.23208828270435333	0.6995851993560791	0.689713716506958	0.7690008878707886	0.7979519367218018	0.7510444521903992	1.0	0.6226049065589905	0.4050632417201996	
Oui/cavité/profonde	0.30305150151252747	0.10101526230573654	0.34795844554901123	0.23162153363227844	0.3567512035369873	0.33488479256629944	0.2690112888813019	0.33655697107315063	0.3017721474170685	0.2705634832382202	0.2057041972875595	0.46576303243637085	0.45594942569732666	0.219322070479393	0.5730443596839905	0.6625476479530334	0.6214643120765686	0.6774781942367554	0.7520053386688232	0.6226049065589905	1.0	0.5480963587760925	
Non/dégoût/profond	0.18332117795944214	0.055130720138549805	0.2556270658969879	0.1510358303785324	0.23508445918560028	0.22935284674167633	0.2308679074048996	0.24782869219779968	0.21446669101715088	0.20398548245429993	0.17194335162639618	0.46005791425704956	0.3132699728012085	0.15029609203338623	0.5211202502250671	0.40590545535087585	0.37357550859451294	0.4281022846698761	0.46079668402671814	0.4050632417201996	0.5480963587760925	1.0	
